id:12152816,daddy:data/accessoriescsv.csv,name:ALBERTA FERRETTI Friday intarsia beanie,brand:Alberta Ferretti,price:HK$1303,description:Blue virgin wool-cashmere blend Friday intarsia beanie from Alberta Ferretti.,color:1342 BLUE NIGHT,style:V36806607,imglink:https://cdn-images.farfetch-contents.com/12/15/28/16/12152816_10201267_322.jpg
id:12549391,daddy:data/accessoriescsv.csv,name:FEDERICA MORETTI  Woven Hat,brand:Federica Moretti,price:HK$2865,description:Beige and blue straw and cotton woven hat from Federica Moretti featuring a wide brim and a ribbon.,color:BEIGE/ BLUE,style:B1123,imglink:https://cdn-images.farfetch-contents.com/12/54/93/91/12549391_11895358_322.jpg
id:12495829,daddy:data/accessoriescsv.csv,name:FENDI monogram scarf,brand:Fendi,price:HK$10000,description:Fendi are famous for their delicate foulards and outfit accenting scarves. Expect to see delicately monogrammed print work and rich colourways.This lightweight cashmere-blend scarf delivers cinematic style finished with an all-over embossed logo frayed edges and an inky fox fur trim. Please note that this item cannot be shipped outside the E.U..,color:F0QA1,style:FXT0858MH,imglink:https://cdn-images.farfetch-contents.com/12/49/58/29/12495829_11688954_322.jpg
id:12047587,daddy:data/accessoriescsv.csv,name:GARRETT LEIGHT Milwood' sunglasses,brand:Garrett Leight,price:HK$2781,description:Rose pink acetate Garrett Leight x Nick Wooster sunglasses from Garrett Leight featuring round frames tinted lenses and gold-tone hardware. This item is unisex. This item comes with a protective case.,color:ROSE,style:2006,imglink:https://cdn-images.farfetch-contents.com/12/04/75/87/12047587_9532679_322.jpg
id:12028899,daddy:data/accessoriescsv.csv,name:GUCCI Blooms scarf,brand:Gucci,price:HK$4000,description:Multicolour silk Blooms scarf from Gucci.,color:9260,style:4527103G0019260,imglink:https://cdn-images.farfetch-contents.com/12/02/88/99/12028899_9368416_322.jpg
id:12449596,daddy:data/accessoriescsv.csv,name:GUCCI Embroidered star scarf,brand:Gucci,price:HK$6550,description:Alessandro Michele joined Gucci as Creative Director in 2015 and has brought a new direction to the luxury house with his cult accessories and whimsical ready-to-wear collections. Crafted in Italy and expertly constructed from cashmere and wool blend this embroidered star scarf from Gucci features frayed edges and a signature blue and red Web detail.,color:5868,style:4779353G274,imglink:https://cdn-images.farfetch-contents.com/12/44/95/96/12449596_11498014_322.jpg
id:12234623,daddy:data/accessoriescsv.csv,name:GUCCI Floral embellished wide brim hat,brand:Gucci,price:HK$7500,description:Alessandro Michele has taken the helm of Gucci and has pushed the maison into the forefront of fashion. Drawing on nature for inspiration Alessandro Michele creates modern luxury designs with an organic approach resulting on heritage items imbibed with new life. This black cotton and rabbit fur felt Floral embellished wide brim hat by Gucci is supremely glamorous. Featuring a wide brim a curved crown a flower corsage appliqué detail and a grosgrain ribbon band.,color:1000,style:4792053HC03,imglink:https://cdn-images.farfetch-contents.com/12/23/46/23/12234623_10506799_322.jpg
id:11555670,daddy:data/accessoriescsv.csv,name:GUCCI floral printed scarf,brand:Gucci,price:HK$3150,description:Multicolour wool floral print scarf from Gucci.,color:6272,style:4154693G200,imglink:https://cdn-images.farfetch-contents.com/11/55/56/70/11555670_7393574_322.jpg
id:11981181,daddy:data/accessoriescsv.csv,name:GUCCI GG daisy print scarf,brand:Gucci,price:HK$3400,description:Alessandro Michele's eclectic vision for Gucci draws inspiration from found vintage objects. These concepts have been cleverely reinvented under his leadership with pops of punchy new wave colour. Add some vintage elegance with modern attitude to your SS17 outfits with this beautiful gerbera flower printed scarf. Rose pink  model linen blend GG daisy print scarf  from Gucci featuring frayed edges a floral print and a lightweight construction.,color:5863,style:4660613G307,imglink:https://cdn-images.farfetch-contents.com/11/98/11/81/11981181_9213994_322.jpg
id:11499977,daddy:data/accessoriescsv.csv,name:GUCCI GG jacquard scarf,brand:Gucci,price:HK$4100,description:Pink wool-silk blend GG jacquard scarf from Gucci.,color:5900,style:4295283G932,imglink:https://cdn-images.farfetch-contents.com/11/49/99/77/11499977_8464148_322.jpg
id:11792035,daddy:data/accessoriescsv.csv,name:GUCCI GG jacquard shawl,brand:Gucci,price:HK$4100,description:Gucci present the GG jacquard shawl a stylish way to carry around company iconography for this season and beyond. With a long length allowing it to be worn in a multitude of ways this navy shawl is made from a blend of wool and silk making for a luxurious feel that is soft to the touch. Featuring an all-over GG logo detail this GG jacquard shawl showcases style history in a subtle and tasteful way alongside frayed edges and stitching details.,color:4000,style:4295283G932,imglink:https://cdn-images.farfetch-contents.com/11/79/20/35/11792035_8453933_322.jpg
id:12161765,daddy:data/accessoriescsv.csv,name:Gucci GG Jubilee print scarf,brand:Gucci,price:HK$3950,description:Alessandro Michele continues to draw inspiration from strong icons of nature and translate them into his eclectic designs for Gucci. Multicoloured silk GG Jubilee print scarf from Gucci featuring a lightweight construction  Gucci Supreme logo pattern bird motif detailing and a contrasting border.,color:4071,style:4793093G001,imglink:https://cdn-images.farfetch-contents.com/12/16/17/65/12161765_10283148_322.jpg
id:12512680,daddy:data/accessoriescsv.csv,name:Gucci GG Keys keyring,brand:Gucci,price:HK$2800,description:The house of Gucci has evolved under the direction of Alessandro Michele as classic accessories and timeless silhouettes are introduced to the creative director’s innovative designs and eclectic attitude. Fashioned in Italy from gold-toned metal this GG Keys keyring from Gucci's AW17 collection features an engraved designer logo and two hanging charms.,color:8233,style:451160J160T,imglink:https://cdn-images.farfetch-contents.com/12/51/26/80/12512680_11813959_322.jpg
