id:12437407,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS GG embossed sneakers,brand:Gucci Kids,price:HK$2650,description:Loved for its lavish Italian styling Gucci Kids is the go-to label for the next fashion-forward generation. These Sylvie embossed sneakers feature a round toe a touch strap fastening a brand embossed insole a flat rubber sole Sylvie Web red and green stripes on the sides a metallic counter heel and an embossed double GG pattern.,color:6566,styleid:455447DF720,imglink:https://cdn-images.farfetch-contents.com/12/43/74/07/12437407_11407493_322.jpg
id:12436348,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS Baby merino Web cardigan sweater,brand:Gucci Kids,price:HK$1750,description:Camel merino with green and red Web detail at the sleeve cuffs. Button front. 100% merino. Made in Italy.,color:2518 Beige,styleid:418777X1284,imglink:https://cdn-images.farfetch-contents.com/12/43/63/48/12436348_11386171_322.jpg
id:12432911,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS Toddler ballet flats with Web,brand:Gucci Kids,price:HK$2100,description:Black patent leather. Green and red Web. High rubber sole. Adjustable touch-strap hook-and-loop strap closure. Made in Italy.,color:1060 BLACK,styleid:477532ALU10,imglink:https://cdn-images.farfetch-contents.com/12/43/29/11/12432911_11387441_322.jpg
id:12432901,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS Children's slip-on sneakers with Web,brand:Gucci Kids,price:HK$2500,description:Black leather. Red leather detail at the heel. Green and red Web elastic. Rubber sole. Slip-on. Made in Italy.,color:1064 BLACK,styleid:477540CPWW0,imglink:https://cdn-images.farfetch-contents.com/12/43/29/01/12432901_11383300_322.jpg
id:12432891,daddy:data/kidsfashioncsv.csv,name:GUCCI KIDS Children's polo with dragon,brand:Gucci Kids,price:HK$1950,description:Dark blue stretch cotton piquet. Embroidered dragon appliqué along the collar. Short sleeves. Mother of pearl buttons. 96% cotton and 4% elastane. Made in Italy.,color:4355 BLUE,styleid:475711X5U29,imglink:https://cdn-images.farfetch-contents.com/12/43/28/91/12432891_11381184_322.jpg
id:12318735,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS printed sweatshirt,brand:Dkny Kids,price:HK$709,description:Blue dazed kids New York print sweatshirt from DKNY Kids featuring a round neck and long sleeves.,color:BLUE,styleid:D35N43865,imglink:https://cdn-images.farfetch-contents.com/12/31/87/35/12318735_10857267_322.jpg
id:12309352,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS printed tracksuit,brand:Moschino Kids,price:HK$1259,description:Black printed tracksuit from Moschino Kids featuring a jacket with a hood a front zip fastening long sleeves a ribbed hem and cuffs and sweatpants with a ribbed waistband and gathered ankles.,color:81991,styleid:HDK00ULCB0281991,imglink:https://cdn-images.farfetch-contents.com/12/30/93/52/12309352_10814589_322.jpg
id:12529346,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS printed teddy sweatshirt,brand:Moschino Kids,price:HK$448,description:Pop-inspired logo-loving Moschino Kids' collection is a playful mix of Italian chic and tongue-poking mischief. This yellow grey and white cotton blend printed teddy sweatshirt from Moschino Kids features a ribbed round neck long sleeves a straight hem and a print to the front.,color:50951,styleid:HUM01OLBA05,imglink:https://cdn-images.farfetch-contents.com/12/52/93/46/12529346_11844494_322.jpg
id:12494929,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS touch strap branded sneakers,brand:Moschino Kids,price:HK$2160,description:Pop-inspired logo-loving Moschino Kids' collection is a playful mix of Italian chic and tongue-poking mischief. A unique combination of pretty and playful these girly sneakers from Moschino Kids are essentials to your little fashionista's wardrobe. Crafted from leather in Italy and graciously detailed with a round toe a touch strap fastening and a white rubber sole the pink sneakers were gorgeously embellished with a logo patch at the tongue a branded outsole and glitter details.,color:PINK,styleid:201154826054,imglink:https://cdn-images.farfetch-contents.com/12/49/49/29/12494929_11669422_322.jpg
id:12473901,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS Teddy Bear print zip hoodie,brand:Moschino Kids,price:HK$631,description:Red cotton blend Teddy Bear print zip hoodie from Moschino Kids.,color:82147 POPPY,styleid:MXF00QLDB00,imglink:https://cdn-images.farfetch-contents.com/12/47/39/01/12473901_11611143_322.jpg
id:12473898,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS Teddy Bear print track pants,brand:Moschino Kids,price:HK$392,description:Red cotton blend Teddy Bear print track pants from Moschino Kids.,color:82147 POPPY,styleid:MUP01XLDB00,imglink:https://cdn-images.farfetch-contents.com/12/47/38/98/12473898_11611126_322.jpg
id:11495945,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS logo print trousers,brand:Moschino Kids,price:HK$768,description:Pop-inspired logo-loving Moschino Kids' collection is a playful mix of New York street and Italian. This black red and white heart logo print trousers from MOSCHINO KIDS features belt loops a button and zip fly and a slim fit.,color:60100,styleid:HAP00YE024T,imglink:https://cdn-images.farfetch-contents.com/11/49/59/45/11495945_7135632_322.jpg
id:12314271,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS reversible padded jacket,brand:Save The Duck Kids,price:HK$1361,description:Blue and beige reversible padded jacket from Save The Duck Kids.,color:00009,styleid:J3354GMATT5,imglink:https://cdn-images.farfetch-contents.com/12/31/42/71/12314271_10891180_322.jpg
id:12246694,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS teddy bear print sweatshirt,brand:Moschino Kids,price:HK$621,description:White cotton-blend teddy bear print sweatshirt from Moschino Kids featuring a crew neck and long sleeves.,color:50349,styleid:MPM01LLBA06,imglink:https://cdn-images.farfetch-contents.com/12/24/66/94/12246694_10575148_322.jpg
id:12409557,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS logo print romper,brand:Moschino Kids,price:HK$1108,description:Pop-inspired logo-loving Moschino Kids’ collection is a playful mix of Italian chic and tongue-poking mischief. Equal parts cosy and cute this off-white cotton romper features long sleeves a Peter Pan collar a snap button closure and a multicoloured Moschino logo to the chest.,color:10063,styleid:MMT00XLAA07,imglink:https://cdn-images.farfetch-contents.com/12/40/95/57/12409557_11278480_322.jpg
id:12472323,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS bears T-shirt & sweatpants set,brand:Knot,price:HK$214,description:Light blue cotton blend Little Bear T-shirt from Knot featuring long sleeves and  button fastenings at the shoulder.,color:031-azul claro,styleid:TL52ND2111,imglink:https://cdn-images.farfetch-contents.com/12/47/23/23/12472323_11701867_322.jpg
id:12387927,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS teddy bear present print tracksuit,brand:Moschino Kids,price:HK$631,description:Pop-inspired logo-loving Moschino Kids' collection is a playful mix of Italian chic and tongue-poking mischief. This white and poppy red  cotton teddy bear present print tracksuit features a top with a ribbed round neck a side button fastening long sleeves a print to the front and a straight hem. The tracksuit bottoms feature an elasticated waistband a pull-on style a regular length and elasticated cuffs.,color:50109 POPPY RED,styleid:MNK013LAA06,imglink:https://cdn-images.farfetch-contents.com/12/38/79/27/12387927_11209178_322.jpg
id:12382582,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS bee print T-shirt,brand:Gucci Kids,price:HK$1050,description:Pink cotton bee print T-shirt  from Gucci Kids.,color:5083,styleid:478345X3G69,imglink:https://cdn-images.farfetch-contents.com/12/38/25/82/12382582_11178380_322.jpg
id:12303485,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS embroidered polo shirt,brand:Moncler Kids,price:HK$1650,description:Dark grey cotton logo embroidered polo shirt from Moncler Kids featuring a front button fastening a straight hem side slits a contrasting ribbed classic polo collar contrasting short sleeves and two embroidered logo motifs to the front and left sleeve.,color:988 CHARCOAL,styleid:830790584632,imglink:https://cdn-images.farfetch-contents.com/12/30/34/85/12303485_10855867_322.jpg
id:12408953,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS knitted Teddy tracksuit,brand:Gucci Kids,price:HK$2850,description:Green and yellow wool knitted Teddy tracksuit from Gucci Kids.,color:3475,styleid:455034X1419,imglink:https://cdn-images.farfetch-contents.com/12/40/89/53/12408953_11322051_322.jpg
id:12399014,daddy:data/kidsfashioncsv.csv,name:MOCHINO KIDS reversible hooded jacket,brand:Gucci Kids,price:HK$7050,description:Alessandro Michele joined Gucci as Creative Director in 2015 and has brought a new direction to the luxury house with his cult accessories and whimsical ready-to-wear collections. This emerald green reversible hooded jacket from Gucci Kids features a hood a front zip fastening two front pockets long sleeves is reversible ribbed cuffs with signature blue and red details and an interlocking GG logo print all over.,color:3034,styleid:474905XBB16,imglink:https://cdn-images.farfetch-contents.com/12/39/90/14/12399014_11368238_322.jpg
id:12547745,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS robot motif jacket,brand:Fendi Kids,price:HK$3041,description:The latest collection from Fendi Kids showcases punchy prints textured trims and a quirky colour palette your little one is bound to love. This pink jacket features a funnel neck a front zip fastening a detachable hood long sleeves and a robot motif at the chest.,color:F0QD10,styleid:JFH0364AA,imglink:https://cdn-images.farfetch-contents.com/12/54/77/45/12547745_11899391_322.jpg
id:12540728,daddy:data/kidsfashioncsv.csv,name:FENDI KIDS pom pom print dress,brand:Fendi Kids,price:HK$1900,description:Known for vibrant colours and distinctly whimsical prints the Fendi Kids collection oozes spontaneity with a side of elegance. This pink cotton pom pom print dress from Fendi Kids features a crew neck 100% UVA and UVB protection short sleeves and a signature print.,color:F0BTZ,styleid:JFB1577AJ,imglink:https://cdn-images.farfetch-contents.com/12/54/07/28/12540728_11894873_322.jpg
